document_number,title,publication_date,effective_on,abstract,html_url
2026-04243,Notice of Continuation and Request for Nominations for the Trade Advisory Committee on Africa,2026-03-04,,The Office of the United States Trade Representative (USTR) expects to establish a new four-year charter term and is accepting applications from qualified individuals interested in serving as a member of the Trade Advisory Committee on Africa (TACA). The TACA is a trade advisory committee that provi,https://www.federalregister.gov/documents/2026/03/04/2026-04243/notice-of-continuation-and-request-for-nominations-for-the-trade-advisory-committee-on-africa
2026-04245,Notice of Continuation and Request for Nominations for the Intergovernmental Policy Advisory Committee on Trade,2026-03-04,,The Office of the United States Trade Representative (USTR) expects to establish a new four-year charter term and is accepting applications from qualified individuals interested in serving as a member of the Intergovernmental Policy Advisory Committee on Trade (IGPAC). The IGPAC is a trade advisory ,https://www.federalregister.gov/documents/2026/03/04/2026-04245/notice-of-continuation-and-request-for-nominations-for-the-intergovernmental-policy-advisory
2026-04285,Certain Carbon and Alloy Steel Cut-to-Length Plate From the Federal Republic of Germany: Final Results of Antidumping Duty Administrative Review; 2023-2024,2026-03-04,,"The U.S. Department of Commerce (Commerce) determines that certain carbon and alloy steel cut-to-length plate (CTL plate) from the Federal Republic of Germany (Germany) was not sold in the United States at less than normal value during the period of review (POR) May 1, 2023, through April 30, 2024.",https://www.federalregister.gov/documents/2026/03/04/2026-04285/certain-carbon-and-alloy-steel-cut-to-length-plate-from-the-federal-republic-of-germany-final
2026-04197,Certain Freight Rail Couplers and Parts Thereof from India: Preliminary Affirmative Countervailing Duty Determination and Alignment of Final Determination with Final Antidumping Duty Determination,2026-03-03,,"The U.S. Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of certain freight rail couplers and parts thereof (freight rail couplers) from India. The period of investigation is April 1, 2024, through March 31, 2025",https://www.federalregister.gov/documents/2026/03/03/2026-04197/certain-freight-rail-couplers-and-parts-thereof-from-india-preliminary-affirmative-countervailing
2026-04152,Certain Disposable and Other Closed-System Electronic Nicotine Delivery Systems (Ends) Devices and Components Thereof; Notice of Institution of Investigation,2026-03-03,,"Notice is hereby given that a complaint was filed with the U.S. International Trade Commission on January 13, 2026, under section 337 of the Tariff Act of 1930, as amended, on behalf of R.J. Reynolds Tobacco Company of Winston-Salem, North Carolina; R.J. Reynolds Vapor Company of Winston-Salem, Nort",https://www.federalregister.gov/documents/2026/03/03/2026-04152/certain-disposable-and-other-closed-system-electronic-nicotine-delivery-systems-ends-devices-and
2026-04156,"Certain Cameras, Camera Systems, and Accessories Used Therewith; Notice of the Commission's Final Determination Finding a Violation of Section 337; Issuance of Remedial Orders; Termination of the Investigation",2026-03-03,,"Notice is hereby given that the U.S. International Trade Commission has determined to find a violation of section 337 of the Tariff Act of 1930, as amended, with respect to U.S. Design Patent No. D789,435 (""the D'435 patent"") in the above-captioned investigation, and to find no violation of section ",https://www.federalregister.gov/documents/2026/03/03/2026-04156/certain-cameras-camera-systems-and-accessories-used-therewith-notice-of-the-commissions-final
2026-04068,Phosphate Fertilizers From Morocco and Russia; Institution of Five-Year Reviews,2026-03-02,,"The Commission hereby gives notice that it has instituted reviews pursuant to the Tariff Act of 1930, as amended, to determine whether revocation of the countervailing duty orders on phosphate fertilizers from Morocco and Rusia would be likely to lead to continuation or recurrence of material injury",https://www.federalregister.gov/documents/2026/03/02/2026-04068/phosphate-fertilizers-from-morocco-and-russia-institution-of-five-year-reviews
2026-03999,Certain Hot-Rolled Steel Flat Products From the Netherlands: Final Results of Antidumping Duty Administrative Review; 2023-2024,2026-03-02,,"The U.S. Department of Commerce (Commerce) determines that the producer and exporter subject to this administrative review made sales of subject merchandise at less than normal value during the period of review (POR) October 1, 2023, through September 30, 2024.",https://www.federalregister.gov/documents/2026/03/02/2026-03999/certain-hot-rolled-steel-flat-products-from-the-netherlands-final-results-of-antidumping-duty
2026-04000,Hardwood and Decorative Plywood From the People's Republic of China: Preliminary Affirmative Determination of Sales at Less Than Fair Value and Preliminary Affirmative Determination of Critical Circumstances,2026-03-02,,"The U.S. Department of Commerce (Commerce) preliminarily determines that hardwood and decorative plywood (plywood) from the People's Republic of China (China) is, or is likely to be, sold in the United States at less than fair value (LTFV). The period of investigation is October 1, 2024, through Mar",https://www.federalregister.gov/documents/2026/03/02/2026-04000/hardwood-and-decorative-plywood-from-the-peoples-republic-of-china-preliminary-affirmative
2026-04001,"Hardwood and Decorative Plywood From Indonesia: Preliminary Affirmative Determination of Sales at Less Than Fair Value, Postponement of Final Determination, and Extension of Provisional Measures",2026-03-02,,"The U.S. Department of Commerce (Commerce) preliminarily determines that hardwood and decorative plywood (plywood) from Indonesia is being, or likely to be, sold in the United States at less than fair value (LTFV). The period of investigation (POI) is April 1, 2024, through March 31, 2025. Intereste",https://www.federalregister.gov/documents/2026/03/02/2026-04001/hardwood-and-decorative-plywood-from-indonesia-preliminary-affirmative-determination-of-sales-at
2026-04002,"Hardwood and Decorative Plywood From the Socialist Republic of Vietnam: Preliminary Affirmative Determination of Sales at Less Than Fair Value, Preliminary Negative Determination of Critical Circumstances, and Postponement of Final Determination and Extension of Provisional Measures",2026-03-02,,"The U.S. Department of Commerce (Commerce) preliminarily determines that hardwood and decorative plywood from the Socialist Republic of Vietnam (Vietnam) is being, or is likely to be, sold in the United States at less than fair value (LTFV). The period of investigation (POI) is October 1, 2024, thro",https://www.federalregister.gov/documents/2026/03/02/2026-04002/hardwood-and-decorative-plywood-from-the-socialist-republic-of-vietnam-preliminary-affirmative
2026-04025,Notice of Request for Extension of a Previously Approved Information Collection and Request for Comment; Request for Comment on Designation of Confidential Information,2026-03-02,,"This notice announces the intention of the U.S. International Trade Commission (Commission) to request a three-year extension, under the Paperwork Reduction Act of 1995 (the Act), of the current generic survey clearance that the Office of Management and Budget (OMB) previously approved. The Commissi",https://www.federalregister.gov/documents/2026/03/02/2026-04025/notice-of-request-for-extension-of-a-previously-approved-information-collection-and-request-for
2026-04026,Truck Bed Covers From China; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations,2026-03-02,,The Commission hereby gives notice of the institution of investigations and commencement of preliminary phase antidumping and countervailing duty investigation Nos. 701-TA-789 and 731-TA-1777 (Preliminary) pursuant to the Tariff Act of 1930 to determine whether there is a reasonable indication that ,https://www.federalregister.gov/documents/2026/03/02/2026-04026/truck-bed-covers-from-china-institution-of-antidumping-and-countervailing-duty-investigations-and
2026-04031,Agency Information Collection Activities; Submission to the Office of Management and Budget (OMB) for Review and Approval; Comment Request; Inclusions to the Section 232 National Security Adjustments to Automobile Parts Imports,2026-03-02,,,https://www.federalregister.gov/documents/2026/03/02/2026-04031/agency-information-collection-activities-submission-to-the-office-of-management-and-budget-omb-for
2026-04059,"Antidumping or Countervailing Duty Order, Finding, or Suspended Investigation; Opportunity To Request Administrative Review and Join Annual Inquiry Service List",2026-03-02,,,https://www.federalregister.gov/documents/2026/03/02/2026-04059/antidumping-or-countervailing-duty-order-finding-or-suspended-investigation-opportunity-to-request
2026-04070,"Common Alloy Aluminum Sheet From Bahrain, Brazil, Croatia, Egypt, Germany, India, Indonesia, Italy, Oman, Romania, Serbia, Slovenia, South Africa, Spain, Taiwan, and Turkey; Institution of Five-Year Reviews",2026-03-02,,"The Commission hereby gives notice that it has instituted reviews pursuant to the Tariff Act of 1930, as amended, to determine whether revocation of the countervailing duty orders on common alloy aluminum sheet (""CAAS"") from Bahrain, India, and Turkey and the revocation of the antidumping duty order",https://www.federalregister.gov/documents/2026/03/02/2026-04070/common-alloy-aluminum-sheet-from-bahrain-brazil-croatia-egypt-germany-india-indonesia-italy-oman
2026-04069,Diamond Sawblades and Parts Thereof From China; Institution of a Five-Year Review,2026-03-02,,"The Commission hereby gives notice that it has instituted a review pursuant to the Tariff Act of 1930, as amended, to determine whether revocation of the antidumping duty order on diamond sawblades and parts thereof from China would be likely to lead to continuation or recurrence of material injury.",https://www.federalregister.gov/documents/2026/03/02/2026-04069/diamond-sawblades-and-parts-thereof-from-china-institution-of-a-five-year-review
2026-04072,Standard Steel Welded Wire Mesh From Mexico; Institution of Five-Year Reviews,2026-03-02,,"The Commission hereby gives notice that it has instituted reviews pursuant to the Tariff Act of 1930, as amended, to determine whether revocation of the countervailing and antidumping duty orders on imports of standard steel welded wire mesh from Mexico would be likely to lead to continuation or rec",https://www.federalregister.gov/documents/2026/03/02/2026-04072/standard-steel-welded-wire-mesh-from-mexico-institution-of-five-year-reviews
2026-04074,"Silicon Metal From Bosnia and Herzegovina, Iceland, Kazakhstan, and Malaysia; Institution of Five-Year Reviews",2026-03-02,,"The Commission hereby gives notice that it has instituted reviews pursuant to the Tariff Act of 1930, as amended, to determine whether revocation of the countervailing duty order on imports of silicon metal from Kazakhstan and the revocation of the antidumping duty orders on silicon metal from Bosni",https://www.federalregister.gov/documents/2026/03/02/2026-04074/silicon-metal-from-bosnia-and-herzegovina-iceland-kazakhstan-and-malaysia-institution-of-five-year
2026-04075,"Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe From Czechia, Russia, South Korea, and Ukraine; Institution of Five-Year Reviews",2026-03-02,,"The Commission hereby gives notice that it has instituted reviews pursuant to the Tariff Act of 1930, as amended, to determine whether revocation of the countervailing duty orders on imports of seamless carbon and alloy steel standard, line, and pressure pipe (""SSLP pipe"") from Russia and South Kore",https://www.federalregister.gov/documents/2026/03/02/2026-04075/seamless-carbon-and-alloy-steel-standard-line-and-pressure-pipe-from-czechia-russia-south-korea-and
2026-04076,Polyvinyl Alcohol From China and Japan; Institution of Five-Year Reviews,2026-03-02,,"The Commission hereby gives notice that it has instituted reviews pursuant to the Tariff Act of 1930, as amended, to determine whether revocation of the antidumping duty orders on polyvinyl alcohol from China and Japan would be likely to lead to continuation or recurrence of material injury. Pursuan",https://www.federalregister.gov/documents/2026/03/02/2026-04076/polyvinyl-alcohol-from-china-and-japan-institution-of-five-year-reviews
2026-04120,Ceramic Tile From the People's Republic of China: Continuation of Antidumping Duty and Countervailing Duty Orders,2026-03-02,,As a result of the determinations by the U.S. Department of Commerce (Commerce) and the U.S. International Trade Commission (ITC) that revocation of the antidumping duty (AD) and countervailing duty (CVD) orders on ceramic tile from the People's Republic of China (China) would likely lead to the con,https://www.federalregister.gov/documents/2026/03/02/2026-04120/ceramic-tile-from-the-peoples-republic-of-china-continuation-of-antidumping-duty-and-countervailing
2026-04121,"Carbon and Certain Alloy Steel Wire Rod From Brazil, Indonesia, Mexico, Moldova, and Trinidad and Tobago: Continuation of Antidumping Duty Orders and Countervailing Duty Order",2026-03-02,,"As a result of the determinations by the U.S. Department of Commerce (Commerce) and the U.S. International Trade Commission (ITC) that revocation of the antidumping duty (AD) orders on carbon and certain alloy steel wire rod (wire rod) from Brazil, Indonesia, Mexico, Moldova, and Trinidad and Tobago",https://www.federalregister.gov/documents/2026/03/02/2026-04121/carbon-and-certain-alloy-steel-wire-rod-from-brazil-indonesia-mexico-moldova-and-trinidad-and-tobago
2026-04124,Notice of Scope Ruling Applications Filed in Antidumping and Countervailing Duty Proceedings,2026-03-02,,"The U.S. Department of Commerce (Commerce) received scope ruling applications, requesting that scope inquiries be conducted to determine whether identified products are covered by the scope of antidumping duty (AD) and/or countervailing duty (CVD) orders and that Commerce issue scope rulings pursuan",https://www.federalregister.gov/documents/2026/03/02/2026-04124/notice-of-scope-ruling-applications-filed-in-antidumping-and-countervailing-duty-proceedings
2026-04071,Twist Ties From China; Institution of Five-Year Reviews,2026-03-02,,"The Commission hereby gives notice that it has instituted reviews pursuant to the Tariff Act of 1930, as amended, to determine whether revocation of the countervailing and antidumping duty orders on twist ties from China would be likely to lead to continuation or recurrence of material injury. Pursu",https://www.federalregister.gov/documents/2026/03/02/2026-04071/twist-ties-from-china-institution-of-five-year-reviews
2026-03924,Certain Beverage Brewing Products and Components Thereof; Notice of Institution of Investigation,2026-02-27,,"Notice is hereby given that a complaint was filed with the U.S. International Trade Commission on January 23, 2026, under section 337 of the Tariff Act of 1930 on behalf of Adrian Rivera Maynez Enterprises, Inc. of La Mirada, California. An amended complaint was filed on February 3, 2026. The amende",https://www.federalregister.gov/documents/2026/02/27/2026-03924/certain-beverage-brewing-products-and-components-thereof-notice-of-institution-of-investigation
2026-03972,Oil Country Tubular Goods From the People's Republic of China: Final Affirmative Determination of Circumvention of the Antidumping Duty and Countervailing Duty Orders,2026-02-27,,The U.S. Department of Commerce (Commerce) determines that imports of seamless oil country tubular goods (OCTG) completed in Thailand using steel billets produced in the People's Republic of China (China) are circumventing the antidumping duty (AD) and countervailing duty (CVD) orders on OCTG from C,https://www.federalregister.gov/documents/2026/02/27/2026-03972/oil-country-tubular-goods-from-the-peoples-republic-of-china-final-affirmative-determination-of
2026-03954,Large Diameter Graphite Electrodes From China and India; Institution of Antidumping and Countervailing Duty Investigations and Scheduling of Preliminary Phase Investigations,2026-02-27,,The Commission hereby gives notice of the institution of investigations and commencement of preliminary phase antidumping and countervailing duty investigation Nos. 701-TA-787-788 and 731-TA-1775- 1776 (Preliminary) pursuant to the Tariff Act of 1930 to determine whether there is a reasonable indica,https://www.federalregister.gov/documents/2026/02/27/2026-03954/large-diameter-graphite-electrodes-from-china-and-india-institution-of-antidumping-and
2026-03896,"Crystalline Silicon Photovoltaic Cells, Whether or Not Assembled Into Modules From Indonesia: Preliminary Affirmative Countervailing Duty Determination, Preliminary Affirmative Critical Circumstances Determination, in Part, and Alignment of Final Determination With Antidumping Duty Determination",2026-02-26,,"The U.S. Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of crystalline silicon photovoltaic cells, whether or not assembled into modules (solar cells) from Indonesia. The period of investigation (POI) is January",https://www.federalregister.gov/documents/2026/02/26/2026-03896/crystalline-silicon-photovoltaic-cells-whether-or-not-assembled-into-modules-from-indonesia
2026-03895,"Crystalline Silicon Photovoltaic Cells, Whether or Not Assembled Into Modules, From India: Preliminary Affirmative Countervailing Duty Determination, Preliminary Affirmative Critical Circumstances Determination, in Part, and Alignment of Final Determination With Final Antidumping Duty Determination",2026-02-26,,"The U.S. Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of crystalline silicon photovoltaic cells, whether or not assembled into modules (solar cells) from India. The period of investigation is April 1, 2024, th",https://www.federalregister.gov/documents/2026/02/26/2026-03895/crystalline-silicon-photovoltaic-cells-whether-or-not-assembled-into-modules-from-india-preliminary
2026-03892,"Certain Lined Paper Products From India: Preliminary Results and Rescission, in Part, of Antidumping Duty Administrative Review; 2023-2024",2026-02-26,,"The U.S. Department of Commerce (Commerce) preliminarily determines that certain lined paper products (lined paper) from India was sold in the United States at prices below normal value during the period of review (POR), September 1, 2023, through August 31, 2024. Additionally, Commerce is rescindin",https://www.federalregister.gov/documents/2026/02/26/2026-03892/certain-lined-paper-products-from-india-preliminary-results-and-rescission-in-part-of-antidumping
2026-03881,Certain New Pneumatic Off-the-Road Tires From India: Final Results of Antidumping Duty Administrative Review; 2023-2024,2026-02-26,,"The U.S. Department of Commerce (Commerce) determines that certain producers/exporters subject to this review made sales of subject merchandise at less than normal value (NV) during the period of review (POR), March 1, 2023, through February 29, 2024.",https://www.federalregister.gov/documents/2026/02/26/2026-03881/certain-new-pneumatic-off-the-road-tires-from-india-final-results-of-antidumping-duty-administrative
2026-03878,Electrolytic Manganese Dioxide From the People's Republic of China: Continuation of Antidumping Duty Order,2026-02-26,,As a result of the determinations by the U.S. Department of Commerce (Commerce) and the U.S. International Trade Commission (ITC) that revocation of the antidumping duty (AD) order on electrolytic manganese dioxide from the People's Republic of China (China) would likely lead to the continuation or ,https://www.federalregister.gov/documents/2026/02/26/2026-03878/electrolytic-manganese-dioxide-from-the-peoples-republic-of-china-continuation-of-antidumping-duty
2026-03868,Request for Comments on the Design of a Plurilateral Agreement on Trade in Critical Minerals and Policy Actions To Strengthen the Resilience of Critical Mineral Supply Chains,2026-02-26,,USTR invites comments from interested parties to inform the development of trade policy that supports and enhances the resilience of critical mineral supply chains and downstream industries that depend on them. The intended means of achieving that resilience are the generation of demand for market-b,https://www.federalregister.gov/documents/2026/02/26/2026-03868/request-for-comments-on-the-design-of-a-plurilateral-agreement-on-trade-in-critical-minerals-and
2026-03795,"Certain Cut-to-Length Carbon-Quality Steel Plate Products From the Republic of Korea: Preliminary Results and Rescission of Antidumping Duty Administrative Review, in Part; 2024-2025",2026-02-26,,"The U.S. Department of Commerce (Commerce) is conducting an administrative review of the antidumping duty (AD) order on certain cut-to-length carbon-quality steel plate products (CTL plate) from the Republic of Korea (Korea). The period of review (POR) is February 1, 2024, through January 31, 2025. ",https://www.federalregister.gov/documents/2026/02/26/2026-03795/certain-cut-to-length-carbon-quality-steel-plate-products-from-the-republic-of-korea-preliminary
2026-03897,"Crystalline Silicon Photovoltaic Cells, Whether or Not Assembled Into Modules From the Lao People's Democratic Republic: Preliminary Affirmative Countervailing Duty Determination, Preliminary Negative Critical Circumstances Determination, and Alignment of Final Determination With Final Antidumping Duty Determination",2026-02-26,,"The U.S. Department of Commerce (Commerce) preliminarily determines that countervailable subsidies are being provided to producers and exporters of crystalline silicon photovoltaic cells, whether or not assembled into modules (solar cells) from the Lao People's Democratic Republic (Laos). The period",https://www.federalregister.gov/documents/2026/02/26/2026-03897/crystalline-silicon-photovoltaic-cells-whether-or-not-assembled-into-modules-from-the-lao-peoples
2026-03829,Continuing the Suspension of Duty-Free De Minimis Treatment for All Countries,2026-02-25,,,https://www.federalregister.gov/documents/2026/02/25/2026-03829/continuing-the-suspension-of-duty-free-de-minimis-treatment-for-all-countries
2026-03824,Imposing a Temporary Import Surcharge To Address Fundamental International Payments Problems,2026-02-25,,,https://www.federalregister.gov/documents/2026/02/25/2026-03824/imposing-a-temporary-import-surcharge-to-address-fundamental-international-payments-problems
2026-03832,Ending Certain Tariff Actions,2026-02-25,,,https://www.federalregister.gov/documents/2026/02/25/2026-03832/ending-certain-tariff-actions
2026-03680,Certain Crystalline Silicon Photovoltaic Products from Taiwan: Final Results of the Antidumping Duty Administrative Review: 2023-2024,2026-02-24,,"The U.S. Department of Commerce (Commerce) finds that EEPV Corp. (EEPV), a producer/exporter subject to this administrative review, did not make sales of certain crystalline silicon photovoltaic products from Taiwan at less than normal value during the period of review (POR) of February 1, 2023, thr",https://www.federalregister.gov/documents/2026/02/24/2026-03680/certain-crystalline-silicon-photovoltaic-products-from-taiwan-final-results-of-the-antidumping-duty
2026-03679,Granular Polytetrafluoroethylene Resin From India: Final Results of Antidumping Duty Administrative Review; 2023-2024,2026-02-24,,"The U.S. Department of Commerce (Commerce) determines that granular polytetrafluoroethylene resin (PTFE resin) from India was sold in the United States at less than normal value during the period of review (POR) March 1, 2023, through February 29, 2024.",https://www.federalregister.gov/documents/2026/02/24/2026-03679/granular-polytetrafluoroethylene-resin-from-india-final-results-of-antidumping-duty-administrative
2026-03678,Wood Mouldings and Millwork Products From the People's Republic of China: Final Results of Antidumping Duty Administrative Review; 2023-2024,2026-02-24,,"The U.S. Department of Commerce (Commerce) determines that Yinfeng Imp & Exp Trading Co., Ltd./Fujian Province Youxi City Mangrove Wood Machining Co., Ltd. (Yinfeng/Mangrove), and Longquan Jiefeng Trade Co., Ltd. and Zhejiang Senya Board Industry Co., Ltd. (Longquan Jiefeng/Senya Board), exporters o",https://www.federalregister.gov/documents/2026/02/24/2026-03678/wood-mouldings-and-millwork-products-from-the-peoples-republic-of-china-final-results-of-antidumping
2026-03600,Unwrought Palladium From Russia; Scheduling of the Final Phase of Countervailing Duty and Antidumping Duty Investigations,2026-02-24,,The Commission hereby gives notice of the scheduling of the final phase of antidumping and countervailing duty investigation Nos. 701-TA-776 and 731-TA-1761 (Final) pursuant to the Tariff Act of 1930 to determine whether an industry in the United States is materially injured or threatened with mater,https://www.federalregister.gov/documents/2026/02/24/2026-03600/unwrought-palladium-from-russia-scheduling-of-the-final-phase-of-countervailing-duty-and-antidumping
2026-03538,"1-Hydroxyethylidene-1, 1-Diphosphonic Acid From the People's Republic of China: Final Affirmative Determination of Circumvention",2026-02-23,,"The U.S. Department of Commerce (Commerce) determines that imports of acidic (non-neutralized) concentrations of 1- hydroxyethylidene-1, 1-diphosphonic acid (HEDP), also referred to as hydroxyethylidenendiphosphonic acid, hydroxyethanediphosphonic acid, acetodiphosphonic acid, and etidronic acid, in",https://www.federalregister.gov/documents/2026/02/23/2026-03538/1-hydroxyethylidene-1-1-diphosphonic-acid-from-the-peoples-republic-of-china-final-affirmative
2026-03515,Light-Walled Rectangular Pipe and Tube From Mexico: Preliminary Results and Partial Rescission of Antidumping Duty Administrative Review; 2023-2024,2026-02-23,,"The U.S. Department of Commerce (Commerce) is conducting an administrative review of the antidumping duty (AD) order on light- walled rectangular pipe and tube (LWRPT) from Mexico. We preliminarily determine that Perfiles LM, S.A. de C.V. (Perfiles) and Regiomontana de Perfiles y Tubos S. de R.L. de",https://www.federalregister.gov/documents/2026/02/23/2026-03515/light-walled-rectangular-pipe-and-tube-from-mexico-preliminary-results-and-partial-rescission-of
2026-03511,"Certain Frozen Warmwater Shrimp From the Socialist Republic of Vietnam: Final Results of and Final Rescission of Review, in Part, of Antidumping Duty Administrative Review; 2023-2024",2026-02-23,,"The U.S. Department of Commerce (Commerce) determines that producers/exported subject to this administrative review made sales of certain frozen warmwater shrimp (shrimp) from the Socialist Republic of Vietnam (Vietnam) at prices below normal value (NV) during the period of review (POR), February 1,",https://www.federalregister.gov/documents/2026/02/23/2026-03511/certain-frozen-warmwater-shrimp-from-the-socialist-republic-of-vietnam-final-results-of-and-final
2026-03500,Wood Mouldings and Millwork Products From the People's Republic of China: Final Results of Countervailing Duty Administrative Review; 2023,2026-02-23,,"The U.S. Department of Commerce (Commerce) determines that countervailable subsidies were provided to producers and/or exporters of wood mouldings and millwork products (millwork products) from the People's Republic of China (China) during the period of review (POR) January 1, 2023, through December",https://www.federalregister.gov/documents/2026/02/23/2026-03500/wood-mouldings-and-millwork-products-from-the-peoples-republic-of-china-final-results-of
2026-03489,Citric Acid and Certain Citrate Salts From Belgium: Final Results of Antidumping Duty Administrative Review; 2023-2024,2026-02-23,,"The U.S. Department of Commerce (Commerce) determines that Citribel nv. (Citribel) did not make sales of subject merchandise at prices below normal value during the July 1, 2023, through June 30, 2024, period of review (POR).",https://www.federalregister.gov/documents/2026/02/23/2026-03489/citric-acid-and-certain-citrate-salts-from-belgium-final-results-of-antidumping-duty-administrative
2026-03487,Citric Acid and Certain Citrate Salts From Thailand: Final Results of Antidumping Duty Administrative Review; 2023-2024,2026-02-23,,"The U.S. Department of Commerce (Commerce) determines that producers and exporters subject to this administrative review did not make sales of subject merchandise at prices below normal value (NV) during the period of review (POR), July 1, 2023 through June 30, 2024.",https://www.federalregister.gov/documents/2026/02/23/2026-03487/citric-acid-and-certain-citrate-salts-from-thailand-final-results-of-antidumping-duty-administrative
2026-03485,"Hard Empty Capsules From Brazil, the People's Republic of China, India, and the Socialist Republic of Vietnam: Countervailing Duty Orders",2026-02-23,,"Based on affirmative final determinations by the U.S. Department of Commerce (Commerce) and U.S. International Trade Commission (ITC), Commerce is issuing countervailing duty (CVD) orders on hard empty capsules (capsules) from Brazil, the People's Republic of China (China), India, and the Socialist ",https://www.federalregister.gov/documents/2026/02/23/2026-03485/hard-empty-capsules-from-brazil-the-peoples-republic-of-china-india-and-the-socialist-republic-of
